"","ExpType","BlockSize","CC","Min","Q1","Median","Mean","Q3","Max"
"1","Bitcoin++",500,2,1.2916269738934,1.29169905682783,1.29172157344502,1.2917223112288,1.29174404913216,1.29183097249501
"2","Bitcoin++",500,4,2.99944420298919,2.99965399741055,2.99972667990358,2.99973961339269,2.99981493391727,3.00032847596155
"3","Bitcoin++",500,8,6.1875339444245,6.18791462218613,6.18804251438917,6.18804958851985,6.1881658645347,6.1887635385778
"4","Bitcoin++",500,16,11.4040358084444,11.4047919485818,11.4050464022867,11.4050759307413,11.4053358266919,11.4071159471452
"5","Bitcoin++",500,32,24.6494835732914,24.6512500984028,24.6518526699282,24.651947459272,24.6525329483799,24.6568141324968
"6","Bitcoin++",500,64,46.7786825099827,46.7815574937155,46.7826818698687,46.7828464190225,46.7839701129973,46.7912628312609
"7","Bitcoin++",500,96,70.7741360520117,70.778540052824,70.7801264622621,70.7802661462042,70.7816367483748,70.7930604394574
"8","Bitcoin++",1000,2,2.41089396189196,2.41112252750838,2.41118287327169,2.41121402919939,2.41129233761403,2.41189003903885
"9","Bitcoin++",1000,4,6.07553623062492,6.07678891778445,6.07702009187421,6.07700022339931,6.07720631797916,6.07796657495218
"10","Bitcoin++",1000,8,11.0563499312641,11.0574925617977,11.0578280451897,11.057970846471,11.0583859555845,11.0615513665399
"11","Bitcoin++",1000,16,22.5724265225899,22.5745377020388,22.5753782709219,22.5755069571831,22.576129389216,22.5816219074927
"12","Bitcoin++",1000,32,47.2689102007992,47.2729596085799,47.2745672740951,47.2751475106265,47.2769388152575,47.2920246759144
"13","BitcoinReducedDiff",500,2,1.56742866514588,1.56753265748553,1.56756736561975,1.56757192171392,1.56760235174579,1.56784955166558
"14","BitcoinReducedDiff",500,4,2.54039212900145,2.54060635254483,2.54069058892001,2.54070268709814,2.54077493847355,2.5412893875501
"15","BitcoinReducedDiff",500,8,4.61194587758527,4.61268007686801,4.61298887735349,4.61303664895232,4.61333585067698,4.61548047536372
"16","BitcoinReducedDiff",500,16,9.95186118878631,9.95494846592921,9.9561894477014,9.95637697630738,9.95754641575425,9.96669131761653
"17","BitcoinReducedDiff",500,32,16.3586469763086,16.367150093185,16.3704680576044,16.3708818824789,16.3739538152186,16.4008543751739
"18","BitcoinReducedDiff",500,64,28.4552768413884,28.4794737752747,28.488249665324,28.4899934608648,28.4980934775464,28.5672523112097
"19","BitcoinReducedDiff",500,96,36.1937887839068,36.2396582962842,36.2562081203162,36.2586817050102,36.2727730671256,36.4164954585595
"20","BitcoinReducedDiff",1000,2,2.54305277082447,2.5432361941973,2.54329752087836,2.54331397998008,2.54337696293397,2.54384912227348
"21","BitcoinReducedDiff",1000,4,4.49472358779624,4.49529278225944,4.49553267679076,4.4955569768953,4.49572324657385,4.49722453787645
"22","BitcoinReducedDiff",1000,8,10.393466320622,10.396155467055,10.397157555753,10.3975417236152,10.3986979963552,10.4081079855081
"23","BitcoinReducedDiff",1000,16,15.8080356460665,15.8132299411701,15.8154245067571,15.816492763255,15.8192456085285,15.8406494032629
"24","BitcoinReducedDiff",1000,32,28.7156976036032,28.7370566500798,28.74601268849,28.7469854263801,28.7529521195096,28.8241754124019
